Top_B,Jun_B,Mid_B,ADC_B,Sup_B,Top_R,Jun_R,Mid_R,ADC_R,Sup_R,Top_B_Gold,Jun_B_Gold,Mid_B_Gold,ADC_B_Gold,Sup_B_Gold,Top_R_Gold,Jun_R_Gold,Mid_R_Gold,ADC_R_Gold,Sup_R_Gold,Top_B_Damage,Jun_B_Damage,Mid_B_Damage,ADC_B_Damage,Sup_B_Damage,Top_R_Damage,Jun_R_Damage,Mid_R_Damage,ADC_R_Damage,Sup_R_Damage
Khan,Clid,Faker,Teddy,Mata,Impact,Xmithie,Jensen,Doublelift,CoreJJ,11627,11935,12554,14774,7818,8221,7719,9021,10320,5927,15646,9120,17817,9955,5443,5321,1409,11840,10290,2659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeros,Meliodas,Naul,BigKoro,Palette,Khan,Clid,Faker,Teddy,Mata,8639,7689,9014,8449,6518,11045,11417,13217,13773,7961,5647,5697,8127,6988,4804,14433,9424,11035,12774,5588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Impact,Xmithie,Jensen,Doublelift,CoreJJ,11840,11331,12803,14153,7694,9001,9251,11894,11155,6326,11440,6818,13528,12469,3498,9841,4747,9928,5226,2825
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,Bugi,Rather,Betty,ShiauC,Khan,Clid,Faker,Teddy,Mata,10014,8438,9986,11338,6474,15607,11543,14801,16866,8385,6416,4245,5028,10592,2208,16587,5138,13267,9723,5340
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,TheShy,Ning,RooKie,JackeyLove,Baolan,12285,9768,14303,14535,8622,12785,14913,14760,19594,9689,13701,5800,21833,21536,6885,16028,17068,18315,34430,5857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeros,Meliodas,Naul,BigKoro,Palette,Impact,Xmithie,Jensen,Doublelift,CoreJJ,9358,8204,9884,8781,5893,10333,10237,11767,13583,6904,7977,3650,14486,6078,3895,9295,5078,14496,13618,2232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Hanabi,Bugi,Rather,Betty,ShiauC,12999,10652,14513,14765,7999,11354,8902,10796,11325,7246,11326,3987,18728,21538,4541,9871,8019,10520,11270,4342
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Zeros,Meliodas,Naul,BigKoro,Palette,10608,11646,12665,14455,7764,8985,8562,9452,9912,6377,13423,13202,19602,15123,5932,8921,7209,8384,8468,3742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Mata,Wunder,Jankos,Caps,Perkz,Mikyx,12099,10293,13951,14609,7414,15826,13013,15762,16422,9531,18843,13023,26144,18364,6086,15673,6187,27882,17065,3831
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Jensen,Doublelift,CoreJJ,Hanabi,Bugi,Rather,Betty,ShiauC,13302,10196,12379,14313,7074,12950,12400,14567,16568,9018,7631,4307,12143,6099,4075,7640,8745,10112,16382,4048
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeros,Meliodas,Naul,BigKoro,Palette,Wunder,Jankos,Caps,Perkz,Mikyx,15214,14360,16103,15858,9991,10972,11208,11294,10741,6137,17194,18121,18603,18318,3843,12622,23144,10712,10867,4308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,Bugi,Rather,Betty,ShiauC,TheShy,Ning,RooKie,JackeyLove,Baolan,15903,15048,17404,18665,11928,15445,16947,21217,21567,12158,19496,14702,16488,26579,5089,22001,15634,33151,18443,8953
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Jensen,Doublelift,CoreJJ,Khan,Clid,Faker,Teddy,Mata,12505,8351,11016,11751,7178,11328,12079,15005,17000,8545,15699,4445,11075,8169,3133,12745,13302,14612,16898,4749
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Khan,Clid,Faker,Teddy,Mata,6735,6801,6103,11337,5182,4927,5181,5399,4082,4123,5542,5334,6563,10585,2801,5056,1960,4308,3929,2320
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,Bugi,Rather,Betty,ShiauC,Wunder,Jankos,Caps,Perkz,Mikyx,12463,10167,12384,14290,7643,17171,11474,14859,15721,8749,13686,6244,14585,14731,6673,27495,6516,16599,28612,4537
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Mata,Zeros,XuHao,Naul,BigKoro,Palette,12590,11403,12760,12501,7563,10152,8307,10228,9974,5482,14897,12526,18198,20800,2417,14146,5229,8352,6083,4375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Jensen,Doublelift,CoreJJ,TheShy,Ning,RooKie,JackeyLove,Baolan,10969,10538,11104,15611,7113,13486,12867,14757,16980,9771,6629,7816,10410,23285,4611,18253,12919,17288,16733,7662
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeros,XuHao,Naul,BigKoro,Palette,Hanabi,Bugi,Rather,Betty,ShiauC,18025,13906,16912,19150,11250,18318,14211,20024,19824,13722,26657,8811,23179,20968,8007,24290,15352,25651,25442,10380
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Impact,Xmithie,Jensen,Doublelift,CoreJJ,13322,10241,14471,12709,8503,11551,9002,10207,12003,7392,12554,9422,23195,12105,6360,14702,6450,8396,10305,7299
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Jensen,Doublelift,CoreJJ,Zeros,XuHao,Naul,BigKoro,Palette,12679,10407,13550,11339,9338,9427,8143,10378,11807,6278,13647,4172,17430,9804,1995,6428,2346,9008,11606,6315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Wunder,Jankos,Caps,Perkz,Mikyx,12680,13618,12347,14126,8105,8227,10022,12295,10308,5957,23150,16879,29787,24567,6338,12879,7359,20827,13466,5080
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Mata,Hanabi,Bugi,Rather,Betty,ShiauC,13179,10327,11710,12359,6759,9371,7460,8430,9169,5419,16582,7636,14486,5528,4372,4402,3157,9939,4067,2942
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeros,XuHao,Naul,BigKoro,Palette,TheShy,Ning,RooKie,JackeyLove,Baolan,14522,11896,11590,15283,10129,12330,13855,12985,17986,10845,15811,15935,16911,15395,4192,14707,16087,19185,26500,6084
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,Bugi,Rather,Betty,ShiauC,Impact,Xmithie,Jensen,Doublelift,CoreJJ,9679,7968,10378,9198,5569,11579,9583,12259,12876,8451,11282,3229,11601,5517,1888,13687,2691,9968,10848,4682
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Khan,Clid,Faker,Teddy,Mata,11619,9119,10238,13354,6842,8928,6847,10654,9283,5282,10050,3781,6893,10342,2709,6071,2252,5991,11279,2617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,TheShy,Ning,RooKie,JackeyLove,Baolan,8748,8683,8803,9942,5322,10441,11876,12246,13930,8139,13298,4277,6907,10569,4177,13733,10936,17351,16912,3827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,TheShy,Ning,RooKie,JackeyLove,Baolan,12790,10263,12574,12125,6735,17112,12431,13065,15844,7615,14311,6520,10929,19856,5163,25450,14882,21500,15827,3567
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,sOAZ,Broxah,Caps,Rekkles,Hylissang,11521,9042,10254,15231,7835,9348,7773,8639,11638,6519,18951,5610,13760,20407,5441,10777,6356,12786,18545,4433
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,12589,11321,10948,12537,7065,7449,6853,8220,9007,5280,16162,10228,12845,14453,6884,6850,4302,7565,8079,2551
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,Bwipo,Broxah,Caps,Rekkles,Hylissang,11826,11755,11412,11139,7993,14131,10745,16067,15142,7974,8188,10453,10105,9930,4721,22104,5966,22515,13783,6860
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,15387,15440,15712,16865,9322,11089,11291,12498,15397,8970,35019,18187,25055,23436,9122,15445,12540,20221,17924,6869
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Wunder,Jankos,Perkz,Hjarnan,Wadid,10670,10780,12848,15099,8301,9643,7842,9255,10880,5831,20178,8653,24021,20147,6362,16126,8048,8695,9378,2802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Wunder,Jankos,Perkz,Hjarnan,Wadid,14064,10889,12421,11211,6707,9387,7970,9451,10773,6544,28780,9674,22365,13783,3273,5219,9271,7038,7534,4348
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Wunder,Jankos,Perkz,Hjarnan,Wadid,14579,11773,11976,14100,8483,10746,9727,9742,11860,5856,18721,10892,18444,23363,6791,14876,8091,17581,14602,3793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Ray,Haro,Scout,iBOY,meiko,8367,6715,7690,10190,5609,10771,9660,13034,14062,7639,14720,5655,4166,11629,3415,9848,7220,18140,14223,5657
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Ray,Haro,Scout,iBOY,meiko,12240,10266,12469,12125,7268,7829,7510,8070,10752,5880,11025,8958,13210,14624,3731,4377,6022,7769,9514,3291
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Ray,Haro,Scout,iBOY,meiko,14796,14145,17731,22083,11858,17496,15985,17630,20909,12320,13544,10382,13255,36227,9342,14768,6628,25798,26655,4066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray,Haro,Scout,iBOY,meiko,Bwipo,Broxah,Caps,Rekkles,Hylissang,9894,9528,12332,11918,6684,14278,13238,11328,15162,8076,10994,6338,14263,14660,5600,21082,7280,11116,13425,2648
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,Kiin,Spirit,kurO,Kramer,TusiN,10874,10861,13481,13748,7979,10785,7526,8284,9653,6075,7790,10070,17929,10897,4783,19731,8549,4299,10019,2478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,Kiin,Mowgli,kurO,Kramer,TusiN,10158,14185,12434,13502,8280,12111,8052,11562,11347,6210,4488,10192,11617,17573,6039,21537,5560,13635,12657,1955
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,Kiin,Spirit,kurO,Kramer,TusiN,12602,13457,14964,16587,8759,14413,8437,11729,15402,8214,13073,15639,24547,27459,3712,28087,7358,18186,24723,7275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Karsa,xiaohu,Uzi,Ming,Wunder,Jankos,Perkz,Hjarnan,Wadid,12476,12295,11740,17289,8328,12062,8741,12313,11601,6017,9412,10782,6281,18249,2716,7863,4772,13829,9145,1212
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Perkz,Hjarnan,Wadid,LetMe,Karsa,xiaohu,Uzi,Ming,15148,12152,16111,15735,8649,10310,10196,11877,14953,7167,15187,12671,15847,15488,4085,7706,11938,17710,11709,6924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Karsa,xiaohu,Uzi,Ming,Wunder,Jankos,Perkz,Hjarnan,Wadid,9959,9254,10595,12584,6505,7897,6752,10015,9927,5160,8443,4614,10572,7445,1774,4034,3092,3719,6601,1683
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Perkz,Hjarnan,Wadid,LetMe,Karsa,xiaohu,Uzi,Ming,14089,11424,14153,14122,7402,8639,8769,7981,11106,5742,15262,8045,21132,16760,2762,6676,6857,9393,10149,6555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Mlxg,xiaohu,Uzi,Ming,Wunder,Jankos,Perkz,Hjarnan,Wadid,10778,9577,14969,17229,7202,16054,14451,17760,17794,9941,14113,6247,21132,29626,5457,13535,11182,33554,21966,5081
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smeb,Score,Ucal,Deft,Mata,TheShy,Ning,RooKie,JackeyLove,Baolan,9795,10186,10078,10130,6209,13888,10657,12476,14148,8055,8719,4463,8320,10039,2953,18052,8048,11737,16849,5258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smeb,Score,Ucal,Deft,Mata,TheShy,Ning,RooKie,JackeyLove,Baolan,9488,8206,7607,10290,5262,10326,9945,12430,12720,8807,9996,8295,4862,9190,1641,11774,7611,12539,13970,6192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smeb,Score,Ucal,Deft,Mata,TheShy,Ning,RooKie,JackeyLove,Baolan,15297,12842,17376,20019,9669,19726,13308,16642,18718,8767,12232,14896,20642,27790,4599,24525,8662,16971,20829,6117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smeb,Score,Ucal,Deft,Mata,Duke,Ning,RooKie,JackeyLove,Baolan,16019,11051,12047,16904,9861,11800,9951,12392,13574,7565,10255,5905,5399,19217,3083,5120,3434,13852,12876,3135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smeb,Score,Ucal,Deft,Mata,TheShy,Ning,RooKie,JackeyLove,Baolan,12998,12494,13795,17388,9224,15243,17711,16135,20682,10124,22133,16856,14940,38195,4145,13674,23764,28456,33479,5669
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Duke,Ning,RooKie,JackeyLove,Baolan,12776,14245,16746,18179,11195,12856,10190,12258,15269,7599,12321,9890,18035,29028,7215,8901,11558,16612,25379,4156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Bwipo,Broxah,Caps,Rekkles,Hylissang,10852,7559,9936,10204,5698,10863,10417,11961,14495,7902,11640,4530,15922,8010,2931,12022,6529,11620,14248,5155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pk,Empt2y,Candy,Stitch,Koala,ssumday,AnDa,Ryu,Rikara,Aphromoo,13435,8515,11405,12527,6752,14243,15334,15224,16126,9449,12259,6198,12393,10013,9435,11311,22709,13596,18970,5230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssumday,AnDa,Ryu,Rikara,Aphromoo,TheShy,Ning,RooKie,JackeyLove,Baolan,10376,11279,9339,10153,7076,16962,11005,14726,12981,7993,13780,9682,8546,9918,2965,26500,13002,21939,12585,4751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Pk,baybay,Candy,Stitch,Koala,11307,10203,12193,12666,7196,7188,6879,8161,8736,5706,19799,9401,8856,15993,3344,9256,8527,10090,9676,4392
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pk,Empt2y,Candy,Stitch,Koala,Duke,Ning,RooKie,JackeyLove,Baolan,7829,7289,8950,9267,4760,11936,11256,11500,11555,6748,5462,2296,8405,8192,2939,11076,7796,10416,10471,2381
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sOAZ,Broxah,Caps,Rekkles,Hylissang,ssumday,AnDa,Ryu,Rikara,Aphromoo,11510,12155,14112,16047,7928,11051,9103,9810,10774,6871,14795,8215,10741,18018,4777,12195,5923,9707,8137,6718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smeb,Score,Ucal,Deft,Mata,Liang,Benny,Uniboy,Breeze,K,10161,10026,10316,13122,6940,9560,7301,8536,8012,5107,6950,4363,8078,14869,3307,6705,3382,9385,5219,3401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray,Haro,Scout,iBOY,meiko,Impact,Xmithie,Pobelter,Doublelift,Olleh,11583,11024,11189,11866,7700,11761,12427,15059,17180,9335,7592,9980,9898,11337,4575,8493,8265,21796,23634,6102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray,Haro,Scout,iBOY,meiko,Smeb,Score,Ucal,Deft,Mata,15969,12746,14366,17642,9230,10786,9486,14209,15119,7352,17518,9817,12357,23456,6670,7248,3957,21070,17525,5209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liang,Benny,Uniboy,Breeze,K,Impact,Xmithie,Pobelter,Doublelift,Olleh,11215,9269,12398,13814,6524,11878,13254,14336,17054,9577,14667,4462,11320,19732,3312,7994,9343,10616,18642,4462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liang,Kongyue,Uniboy,Breeze,K,Ray,Haro,Scout,iBOY,meiko,12904,10972,13524,15554,6779,18938,14254,15547,20748,10142,21406,9446,11715,39627,3153,18326,14178,17578,46296,8959
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Pobelter,Doublelift,Olleh,Smeb,Score,Ucal,Deft,Mata,8250,8160,9846,10631,5329,8775,9407,11129,14209,7051,7517,3312,6740,8513,2601,8660,6262,10268,13775,7448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,Wunder,Jankos,Perkz,Hjarnan,Wadid,11027,10894,11458,10096,7011,15503,10979,15249,14757,8320,11851,14327,12306,10688,4721,12548,11451,13206,23228,4054
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Perkz,Hjarnan,Wadid,Kiin,Spirit,kurO,Kramer,TusiN,16276,11133,16570,17212,9574,16777,12450,16046,19265,9153,9935,1859,17950,12218,2598,17462,7213,13349,23423,4266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,Zeros,XuHao,Naul,BigKoro,Palette,12236,14387,16483,19459,10092,20396,16927,17053,20696,11029,11283,24669,23849,35943,5392,36739,21416,23220,37559,13048
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeros,Meliodas,Naul,BigKoro,Palette,Kiin,Spirit,kurO,Kramer,TusiN,13209,9419,13093,12845,7057,15366,10886,14664,15501,7885,10531,2872,8648,8695,4925,10337,5191,12319,12324,3877
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,Wunder,Jankos,Perkz,Hjarnan,Wadid,14216,16723,17176,20847,10161,20310,13916,17668,18335,11351,15466,30555,27238,36523,8961,28219,11069,19481,38277,4807
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Perkz,Hjarnan,Wadid,Zeros,Meliodas,Naul,BigKoro,Palette,20037,13093,20427,22538,10528,18848,15798,17217,19517,11903,25600,6022,39733,31698,3564,30251,12109,23865,22761,6664
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiin,Spirit,kurO,Kramer,TusiN,Hanabi,MooJin,Maple,Betty,SwordArt,11429,9428,12175,14358,8043,9426,8043,10437,10929,6708,8546,5111,8763,17567,5150,7188,3659,8049,7629,1144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Mlxg,xiaohu,Uzi,Ming,Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,13825,14628,15539,17783,9523,12553,11773,16314,15504,8849,19245,14426,40509,34508,9539,16521,16935,22504,16856,6789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Mlxg,xiaohu,Uzi,Ming,CuVee,Haru,Crown,Ruler,CoreJJ,10763,9838,10312,9903,5422,7679,7481,7962,6839,4149,12274,9873,10454,8310,4775,5553,9916,6552,8627,3815
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,Cabochard,Kikis,Jiizuke,Attila,jactroll,14194,11380,15634,13366,8622,10404,8626,13770,15051,6703,17764,11681,21626,20680,4870,12046,5361,17922,16877,4972
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,LetMe,Karsa,xiaohu,Uzi,Ming,12189,9476,12487,13964,8084,10376,8436,9326,11115,6129,6058,10577,16650,22282,5682,10901,4828,7460,11657,5725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabochard,Kikis,Jiizuke,Attila,jactroll,CuVee,Ambition,Crown,Ruler,CoreJJ,16106,12004,12011,16346,8954,12342,9651,11973,14028,8183,11236,6529,9337,15031,3090,4581,9018,13416,12877,3579
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuVee,Haru,Crown,Ruler,CoreJJ,Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,13018,9796,10941,14212,7392,16218,12645,16070,15875,9768,15188,3964,13127,20722,4167,15183,8297,19429,18826,3497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabochard,Kikis,Jiizuke,Attila,jactroll,LetMe,Karsa,xiaohu,Uzi,Ming,12556,11019,12961,16373,7244,9996,9821,11172,14881,6814,8811,6251,11429,14778,4771,7916,4742,8849,12090,4879
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smeb,Score,Ucal,Deft,Mata,Ray,ClearLove,Scout,iBOY,meiko,12046,11647,13882,16558,8559,10233,8165,12668,13041,6695,7738,7575,6175,17815,3884,6004,3407,14133,13058,4675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Pobelter,Doublelift,Olleh,Liang,Kongyue,Uniboy,Breeze,K,17188,13704,15601,18445,8855,11921,9683,13004,13663,7359,10267,8445,13702,18898,2531,9430,4407,12246,11442,3113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pk,Empt2y,Candy,Stitch,Koala,Bwipo,Broxah,Caps,Rekkles,Hylissang,7924,6747,8376,8220,5399,9527,10921,11019,12163,6800,6408,1674,6443,8570,2256,8828,7822,9291,14452,4373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,ssumday,AnDa,Ryu,Rikara,Aphromoo,6561,8121,9888,10775,6406,7458,6787,7231,6630,4307,6072,4910,6579,12884,2814,5928,3358,8173,2315,2451
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Perkz,Hjarnan,Wadid,Hanabi,MooJin,Maple,Betty,SwordArt,14744,10243,12843,12845,7088,9904,9455,11605,13073,7723,19715,4807,7312,11111,2678,8404,2471,6804,13281,4484
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiin,Mowgli,kurO,Kramer,TusiN,Zeros,Meliodas,Naul,BigKoro,Palette,12466,9468,13071,13756,7908,8945,8006,8770,9794,5279,9959,5058,10543,6814,2850,10820,4630,5664,10231,2309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorice,Blaber,Jensen,Sneaky,Zeyzal,CuVee,Haru,Crown,Ruler,CoreJJ,8667,7609,8088,7927,4719,8867,10388,9851,11430,6924,6030,3700,9512,6479,1603,6991,10706,12089,11578,3607
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Karsa,xiaohu,Uzi,Ming,Cabochard,Kikis,Jiizuke,Attila,jactroll,12093,10328,11919,16017,8240,10141,8735,11005,10552,5810,12885,7972,7057,13910,4311,6981,6425,11356,8932,4639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssumday,AnDa,Ryu,Rikara,Aphromoo,Pk,baybay,Candy,Stitch,Koala,16118,13315,14080,18854,8955,10840,10116,14004,16294,7727,18626,16878,24826,34410,7362,10629,6732,17404,28614,7335
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sOAZ,Broxah,Caps,Rekkles,Hylissang,Duke,Ning,RooKie,JackeyLove,Baolan,8558,8318,8682,11425,6045,10273,11826,11042,14506,7195,12252,8967,10280,11392,2869,8518,16303,16493,21715,4641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Pobelter,Doublelift,Olleh,Ray,ClearLove,Scout,iBOY,meiko,8135,7994,9209,9745,6504,10446,9899,13045,13286,8477,9165,8065,6393,10459,4186,9446,4765,19736,18190,6637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liang,Kongyue,Uniboy,Breeze,K,Smeb,Score,Ucal,Deft,Mata,7878,6957,8560,10001,5597,12804,9478,12919,11775,7672,7284,4746,9301,3983,1695,9413,8554,15159,9088,2388
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuVee,Haru,Crown,Ruler,CoreJJ,LetMe,Karsa,xiaohu,Uzi,Ming,14050,10794,12719,14531,7604,10997,10098,15888,16995,8349,11066,5419,10910,9228,2192,9657,5900,12172,15647,5526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabochard,Kikis,Jiizuke,Attila,jactroll,Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,15722,15150,19341,23377,10539,17479,16507,19042,21484,12613,14991,9379,31839,43133,5933,19479,23472,24392,33424,7592
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Ning,RooKie,JackeyLove,Baolan,Pk,baybay,Candy,Stitch,Koala,10353,9090,14013,12059,7727,9386,9290,8917,8790,5175,11034,7989,13793,14898,4070,7777,11256,7549,13078,3332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssumday,AnDa,Ryu,Rikara,Aphromoo,sOAZ,Broxah,Caps,Rekkles,Hylissang,8481,7502,8379,9577,5973,10908,10718,14140,13371,7458,11177,6862,9518,6990,2204,13933,5751,11768,10471,4234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeros,Meliodas,Naul,BigKoro,Palette,Wunder,Jankos,Perkz,Hjarnan,Wadid,13305,11198,13369,18999,8871,13360,9383,11805,14198,7463,9530,10085,16907,24985,5057,11254,6056,12271,14502,3792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,Kiin,Spirit,kurO,Kramer,TusiN,17929,12488,16153,20881,10728,15193,11172,14506,17176,7954,9865,5761,7944,29860,2277,11029,5566,15636,13092,5221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuVee,Haru,Crown,Ruler,CoreJJ,Cabochard,Kikis,Jiizuke,Attila,jactroll,14721,13727,17458,17791,11078,16846,14657,20439,19476,10880,16721,13041,21896,17462,6325,8051,14221,20174,19248,6150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
